NumThreads,NumeroMaximo,StartTime,ElapsedTime,MeanUtilization
2,110000,1734442750956,12720,0.2536551549805383
4,110000,1734442137765,6839,0.5073994075799293
6,110000,1734442771312,6364,0.7511376094646971
8,110000,1734442790565,5861,0.9934002119420722
10,110000,1734442804845,6020,0.979317406554086
12,110000,1734442816920,5913,0.9855291233839129
14,110000,1734442830121,5770,0.9916417461324312
16,110000,1734442841349,5685,0.9925548009466936
18,110000,1734442853539,5415,0.9930638109961571
20,110000,1734442864449,5378,0.9877237401833712
22,110000,1734528309501,5668,0.9991749174917492
24,110000,1734528323865,5614,0.9995884773662552
26,110000,1734528336836,5456,0.9997919267582188
28,110000,1734528351940,5485,1.0
30,110000,1734528365139,5355,0.999591503267974
32,110000,1734528376536,5293,1.0
34,110000,1734528389443,5454,0.9997924449979244
36,110000,1734528399290,5311,1.0
38,110000,1734528411370,5251,1.0
40,110000,1734528422339,5218,1.0
